result_id,race_id,race_id,constructor_id,position,points,laps,time_in_miliseconds,fastestLap,rank,fastest_lap_time,fastest_lap_speed
396,37,21,4,6,3,56,5600568,44,9,01:37.9,203.872
397,37,15,7,7,2,56,5605062,40,10,01:38.0,203.587
398,37,5,4,8,1,56,5606945,41,7,01:37.8,204.015
399,37,25,3,9,0,56,5624854,19,8,01:37.9,203.903
400,37,17,9,10,0,56,5628486,55,14,01:38.5,202.504
401,37,22,11,11,0,55,\N,32,15,01:38.6,202.451
402,37,18,11,12,0,55,\N,54,16,01:38.7,202.262
403,37,11,8,13,0,55,\N,37,13,01:38.5,202.595
404,37,26,5,14,0,55,\N,54,18,01:39.1,201.364
405,37,23,7,15,0,55,\N,52,19,01:39.2,201.07
406,37,19,8,16,0,55,\N,32,20,01:39.6,200.417
407,37,24,5,17,0,55,\N,21,12,01:38.4,202.695
408,37,9,2,18,0,55,\N,53,17,01:38.9,201.82
409,37,3,3,19,0,42,\N,18,6,01:37.7,204.237
410,37,14,9,20,0,36,\N,28,11,01:38.1,203.416
411,37,27,12,21,0,7,\N,5,21,01:41.5,196.608
412,37,16,12,22,0,0,\N,\N,\N,\N,\N
413,38,13,6,1,10,57,5607515,42,1,01:34.1,207.12
414,38,1,1,2,8,57,5609875,18,2,01:34.3,206.674
415,38,8,6,3,6,57,5618354,39,3,01:34.4,206.483
416,38,2,2,4,5,57,5621346,38,5,01:34.5,206.236
417,38,4,1,5,4,57,5621941,46,4,01:34.4,206.346
418,38,9,2,6,3,57,5653044,46,6,01:34.8,205.477
419,38,15,7,7,2,57,5688886,40,7,01:35.2,204.756
420,38,21,4,8,1,57,5689216,51,8,01:35.2,204.655
421,38,5,4,9,0,57,5696926,27,10,01:35.5,204.065
422,38,3,3,10,0,57,5697431,51,11,01:35.6,203.893
423,38,25,3,11,0,56,\N,27,16,01:36.0,202.966
424,38,23,7,12,0,56,\N,37,15,01:35.8,203.278
425,38,22,11,13,0,56,\N,50,14,01:35.8,203.284
426,38,27,12,14,0,55,\N,40,20,01:37.2,200.477
427,38,16,12,15,0,53,\N,45,19,01:36.8,201.33
428,38,19,8,16,0,51,\N,27,17,01:36.1,202.715
429,38,17,9,17,0,41,\N,37,12,01:35.7,203.575
430,38,14,9,18,0,36,\N,34,9,01:35.4,204.26
431,38,11,8,19,0,34,\N,23,18,01:36.4,202.193
432,38,24,5,20,0,26,\N,23,13,01:35.7,203.537
433,38,18,11,21,0,0,\N,\N,\N,\N,\N
434,38,26,5,22,0,0,\N,\N,\N,\N,\N
435,39,13,6,1,10,65,5496230,14,1,01:22.7,202.685
436,39,1,1,2,8,65,5503020,20,2,01:22.9,202.205
437,39,4,1,3,6,65,5513686,17,3,01:23.0,201.986
